Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSDARG00000044345	cyfip1	cytoplasmic FMR1 interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8557]	6	37655078	37730907	1
ENSDARG00000097902	si:ch73-204p21.2	si:ch73-204p21.2 [Source:ZFIN;Acc:ZDB-GENE-050208-49]	17	16046132	16084578	1
ENSDARG00000087897	h2afy2	H2A histone family, member Y2 [Source:ZFIN;Acc:ZDB-GENE-050913-114]	13	7753049	7767600	-1
ENSDARG00000112954	hist1h4l	histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]	25	35065802	35066113	1
ENSDARG00000096174	CU469524.1		16	4210477	4211935	-1
ENSDARG00000012204	CDK18	cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]	11	38280454	38420819	1
ENSDARG00000017653	rgs13	regulator of G protein signaling 13 [Source:ZFIN;Acc:ZDB-GENE-070410-138]	2	6475567	6482240	-1
ENSDARG00000102515	CR847504.1		4	34429101	34430049	1
ENSDARG00000013607	sema3gb	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Gb [Source:ZFIN;Acc:ZDB-GENE-050513-4]	8	23485079	23553859	1
ENSDARG00000011027	fgfr1a	fibroblast growth factor receptor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-255]	8	51430597	51524453	-1
ENSDARG00000045444	fzd8a	frizzled class receptor 8a [Source:ZFIN;Acc:ZDB-GENE-000328-3]	24	4447635	4450238	-1
ENSDARG00000090355	pimr168	Pim proto-oncogene, serine/threonine kinase, related 168 [Source:ZFIN;Acc:ZDB-GENE-041210-63]	4	34599803	34604408	1
ENSDARG00000056704	zgc:91818	zgc:91818 [Source:ZFIN;Acc:ZDB-GENE-040718-446]	9	28778649	28867908	-1
ENSDARG00000097688	si:ch73-265h17.5	si:ch73-265h17.5 [Source:ZFIN;Acc:ZDB-GENE-131121-293]	25	5012791	5013301	1
ENSDARG00000020494	znf330	zinc finger protein 330 [Source:ZFIN;Acc:ZDB-GENE-040426-2697]	1	53266504	53277660	-1
ENSDARG00000094154	hist2h3c	histone cluster 2, H3c [Source:ZFIN;Acc:ZDB-GENE-070424-8]	25	35051656	35052155	1
ENSDARG00000003077	si:ch73-111m19.2	si:ch73-111m19.2 [Source:ZFIN;Acc:ZDB-GENE-130603-13]	12	45676667	45688953	1
ENSDARG00000060941	ANKFN1	ankyrin repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26766]	12	32292564	32374156	1
ENSDARG00000077664	zgc:110239	zgc:110239 [Source:ZFIN;Acc:ZDB-GENE-050417-107]	19	42490936	42503143	-1
ENSDARG00000006598	sgk2b	serum/glucocorticoid regulated kinase 2b [Source:ZFIN;Acc:ZDB-GENE-060929-44]	16	26530426	26537114	-1
ENSDARG00000040695	fkbp14	FK506 binding protein 14 [Source:ZFIN;Acc:ZDB-GENE-040801-210]	16	20294976	20305104	1
ENSDARG00000076857	her3	hairy-related 3 [Source:ZFIN;Acc:ZDB-GENE-980526-204]	8	46641314	46642556	1
ENSDARG00000068549	si:dkey-47k20.4	si:dkey-47k20.4 [Source:ZFIN;Acc:ZDB-GENE-060503-924]	18	33580391	33586704	1
ENSDARG00000078279	foxp3b	forkhead box P3b [Source:ZFIN;Acc:ZDB-GENE-081104-332]	8	23436411	23454577	1
ENSDARG00000030644	gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-070713-6]	8	25145464	25220957	1
ENSDARG00000054418	ssuh2.2	ssu-2 homolog, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-060421-4694]	22	30959733	30973791	-1
ENSDARG00000076745	zgc:193811	zgc:193811 [Source:ZFIN;Acc:ZDB-GENE-081022-43]	3	31945604	31951295	1
ENSDARG00000007257	rab5ab	RAB5A, member RAS oncogene family, b [Source:ZFIN;Acc:ZDB-GENE-040122-3]	16	49647402	49661406	1
ENSDARG00000099758	igf2bp2b	insulin-like growth factor 2 mRNA binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-060503-536]	1	30443193	30510957	-1
ENSDARG00000089067	si:dkey-83f18.5	si:dkey-83f18.5 [Source:ZFIN;Acc:ZDB-GENE-070705-504]	7	4642009	4645601	1
ENSDARG00000099925	BX072564.1		11	24580579	24581114	1
ENSDARG00000058389	ccl19a.1	chemokine (C-C motif) ligand 19a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060526-181]	5	13353866	13392962	1
ENSDARG00000094225	si:dkey-28d5.8	si:dkey-28d5.8 [Source:ZFIN;Acc:ZDB-GENE-060503-354]	7	4865367	4867270	1
ENSDARG00000053130	pcp4a	Purkinje cell protein 4a [Source:ZFIN;Acc:ZDB-GENE-031118-105]	10	38969429	39011514	-1
ENSDARG00000090847	si:ch211-209l18.4	si:ch211-209l18.4 [Source:ZFIN;Acc:ZDB-GENE-110411-221]	22	6632702	6651382	-1
ENSDARG00000031657	fahd1	fumarylacetoacetate hydrolase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050522-448]	3	18795570	18796559	1
ENSDARG00000053512	crybb2	crystallin, beta B2 [Source:ZFIN;Acc:ZDB-GENE-060130-1]	8	42629748	42636278	1
ENSDARG00000045157	si:ch211-147h1.4	si:ch211-147h1.4 [Source:ZFIN;Acc:ZDB-GENE-040724-228]	12	18663154	18666282	1
ENSDARG00000056914	emg1	EMG1 N1-specific pseudouridine methyltransferase [Source:ZFIN;Acc:ZDB-GENE-060421-2909]	16	17254489	17258111	-1
ENSDARG00000035452	camkk1a	calcium/calmodulin-dependent protein kinase kinase 1, alpha a [Source:ZFIN;Acc:ZDB-GENE-050327-62]	5	31283576	31432727	1
ENSDARG00000045482	stk38l	serine/threonine kinase 38 like [Source:ZFIN;Acc:ZDB-GENE-040426-798]	4	20224099	20235904	-1
ENSDARG00000071500	fam207a	family with sequence similarity 207, member A [Source:ZFIN;Acc:ZDB-GENE-060825-113]	22	12699121	12726556	-1
ENSDARG00000005332	lipib	lipase, member Ib [Source:ZFIN;Acc:ZDB-GENE-091118-47]	24	24086249	24101132	1
ENSDARG00000099047	BX323797.1		7	38229070	38236113	1
ENSDARG00000007129	slc6a16a	solute carrier family 6, member 16a [Source:ZFIN;Acc:ZDB-GENE-061009-43]	3	16566361	16591648	1
ENSDARG00000030964	pde12	phosphodiesterase 12 [Source:ZFIN;Acc:ZDB-GENE-060519-25]	11	42506052	42525450	-1
ENSDARG00000078901	anks1ab	ankyrin repeat and sterile alpha motif domain containing 1Ab [Source:ZFIN;Acc:ZDB-GENE-110107-1]	6	54358529	54422665	1
ENSDARG00000027183	namptb	nicotinamide phosphoribosyltransferase b [Source:ZFIN;Acc:ZDB-GENE-030131-2931]	11	19729771	19775182	-1
ENSDARG00000080015	lrrtm4l1	leucine rich repeat transmembrane neuronal 4 like 1 [Source:ZFIN;Acc:ZDB-GENE-080327-15]	10	19310688	19394491	1
ENSDARG00000088556	si:dkey-1c7.2	si:dkey-1c7.2 [Source:ZFIN;Acc:ZDB-GENE-121214-214]	1	57774454	57779848	1
ENSDARG00000096808	si:dkey-287g12.6	si:dkey-287g12.6 [Source:ZFIN;Acc:ZDB-GENE-130603-36]	12	26489370	26491464	-1
ENSDARG00000002745	tdh	L-threonine dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-040426-2379]	20	18992679	18998022	1
ENSDARG00000023532	pinx1	PIN2 (TERF1) interacting telomerase inhibitor 1 [Source:ZFIN;Acc:ZDB-GENE-030515-2]	20	19006703	19059240	1
ENSDARG00000093977	si:ch211-220f16.1	si:ch211-220f16.1 [Source:ZFIN;Acc:ZDB-GENE-070912-198]	18	30028135	30030949	1
ENSDARG00000021389	jag2b	jagged 2b [Source:ZFIN;Acc:ZDB-GENE-011128-3]	20	21391181	21475620	1
ENSDARG00000008237	sars	seryl-tRNA synthetase [Source:ZFIN;Acc:ZDB-GENE-040831-1]	23	34030550	34043651	1
ENSDARG00000045036	cdc42ep4b	CDC42 effector protein (Rho GTPase binding) 4b [Source:ZFIN;Acc:ZDB-GENE-091008-2]	12	37407105	37449396	-1
ENSDARG00000003570	hsp90b1	heat shock protein 90, beta (grp94), member 1 [Source:ZFIN;Acc:ZDB-GENE-031002-1]	4	9836465	9843836	1
ENSDARG00000037894	ezh1	enhancer of zeste 1 polycomb repressive complex 2 subunit [Source:ZFIN;Acc:ZDB-GENE-050114-1]	3	36859701	36892651	1
ENSDARG00000010721	sept6	septin 6 [Source:ZFIN;Acc:ZDB-GENE-030131-1414]	14	33297781	33328031	-1
ENSDARG00000092126	vtg5	vitellogenin 5 [Source:ZFIN;Acc:ZDB-GENE-001201-4]	22	24751101	24757785	-1
ENSDARG00000040942	pnp6	purine nucleoside phosphorylase 6 [Source:ZFIN;Acc:ZDB-GENE-040426-1800]	18	21257261	21271373	-1
ENSDARG00000006639	lnpk	lunapark, ER junction formation factor [Source:ZFIN;Acc:ZDB-GENE-030131-9455]	6	10836147	10863669	-1
ENSDARG00000053574	fancd2	FA complementation group D2 [Source:ZFIN;Acc:ZDB-GENE-040116-5]	6	42291308	42336995	-1
ENSDARG00000062699	nkain4	sodium/potassium transporting ATPase interacting 4 [Source:ZFIN;Acc:ZDB-GENE-080204-60]	23	14265122	14403939	-1
ENSDARG00000012699	bbx	bobby sox homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-091204-306]	10	28470307	28525611	-1
ENSDARG00000100381	rock2bl	rho-associated, coiled-coil containing protein kinase 2b, like [Source:ZFIN;Acc:ZDB-GENE-071005-1]	20	33555381	33556983	-1
ENSDARG00000036571	sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E [Source:ZFIN;Acc:ZDB-GENE-030131-7864]	18	9493720	9576778	1
ENSDARG00000095315	CR626907.2	si:dkey-52d15.2 [Source:NCBI gene;Acc:100006993]	15	21079826	21109608	-1
ENSDARG00000054797	zgc:153441	zgc:153441 [Source:ZFIN;Acc:ZDB-GENE-060825-39]	19	42418227	42424599	-1
ENSDARG00000004074	bach2b	BTB and CNC homology 1, basic leucine zipper transcription factor 2b [Source:ZFIN;Acc:ZDB-GENE-041001-139]	20	23972948	24122881	-1
ENSDARG00000105012	utp23	UTP23, small subunit (SSU) processome component, homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-050417-353]	19	45962016	45967718	1
ENSDARG00000113572	si:dkey-102c8.3	si:dkey-102c8.3 [Source:ZFIN;Acc:ZDB-GENE-050208-328]	22	10090673	10097227	1
ENSDARG00000089304	si:dkeyp-4f2.1	si:dkeyp-4f2.1 [Source:ZFIN;Acc:ZDB-GENE-081103-33]	4	33057844	33073382	-1
ENSDARG00000001782	prkacba	protein kinase, cAMP-dependent, catalytic, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1351]	11	8129536	8150894	1
ENSDARG00000052942	aspg	asparaginase homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-070820-14]	17	45737992	45775010	1
ENSDARG00000027199	smad1	SMAD family member 1 [Source:ZFIN;Acc:ZDB-GENE-991119-8]	1	35896488	35929143	-1
ENSDARG00000076998	si:ch73-92i20.1	si:ch73-92i20.1 [Source:ZFIN;Acc:ZDB-GENE-070705-270]	5	21922534	21932191	1
ENSDARG00000105541	si:ch73-335l21.3	si:ch73-335l21.3 [Source:ZFIN;Acc:ZDB-GENE-160728-48]	7	20247871	20252067	1
ENSDARG00000061180	vps45	vacuolar protein sorting 45 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-060503-526]	19	42397287	42416696	-1
ENSDARG00000097169	si:ch73-330k17.3	si:ch73-330k17.3 [Source:ZFIN;Acc:ZDB-GENE-131121-190]	25	31890256	31898552	-1
ENSDARG00000097108	BX649442.2		9	29682197	29707257	-1
ENSDARG00000038225	nras	NRAS proto-oncogene, GTPase [Source:ZFIN;Acc:ZDB-GENE-990415-166]	8	11114754	11131695	-1
ENSDARG00000088539	ponzr2	plac8 onzin related protein 2 [Source:ZFIN;Acc:ZDB-GENE-050411-41]	10	22123831	22127942	-1
ENSDARG00000021812	cherp	calcium homeostasis endoplasmic reticulum protein [Source:ZFIN;Acc:ZDB-GENE-040407-1]	22	4962370	4990045	-1
ENSDARG00000101575	CU928046.2		14	865625	872899	-1
ENSDARG00000006580	cldnd	claudin d [Source:ZFIN;Acc:ZDB-GENE-010328-4]	21	25777425	25778201	1
ENSDARG00000052011	rrad	Ras-related associated with diabetes [Source:ZFIN;Acc:ZDB-GENE-030131-5607]	7	44960188	44963154	-1
ENSDARG00000087319	tmem121b	transmembrane protein 121B [Source:ZFIN;Acc:ZDB-GENE-070705-241]	4	12308976	12312976	1
ENSDARG00000096642	AL954187.1		15	27642233	27658419	-1
ENSDARG00000104376	BX927192.1		5	47623564	47624366	-1
ENSDARG00000096896	BX004991.1		9	1575420	1580044	1
ENSDARG00000045372	ngdn	neuroguidin, EIF4E binding protein [Source:ZFIN;Acc:ZDB-GENE-031030-13]	24	14541013	14557158	1
ENSDARG00000051981	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	1	44826316	44835738	1
ENSDARG00000095478	CR392001.1		8	38922317	38922926	1
ENSDARG00000029556	kansl3	KAT8 regulatory NSL complex subunit 3 [Source:ZFIN;Acc:ZDB-GENE-050809-132]	8	51304099	51340931	-1
ENSDARG00000078419	filip1a	filamin A interacting protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4110]	17	50013594	50022827	-1
ENSDARG00000079939	jmjd1cb	jumonji domain containing 1Cb [Source:ZFIN;Acc:ZDB-GENE-121214-344]	12	8581875	8817999	-1
ENSDARG00000038881	acaa2	acetyl-CoA acyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1996]	8	2509625	2529878	-1
ENSDARG00000094912	CR749775.1		21	28493077	28502270	-1
ENSDARG00000056330	mhc2dbb	major histocompatibility complex class II DBB gene [Source:ZFIN;Acc:ZDB-GENE-010112-2]	18	29922939	29925717	-1
ENSDARG00000055523	slc22a6l	solute carrier family 22 (organic anion transporter), member 6, like [Source:ZFIN;Acc:ZDB-GENE-040426-2249]	21	28478663	28494322	1
ENSDARG00000075791	si:dkey-79f11.5	si:dkey-79f11.5 [Source:ZFIN;Acc:ZDB-GENE-030131-9145]	1	7993632	8000428	-1
ENSDARG00000041421	taz	tafazzin [Source:ZFIN;Acc:ZDB-GENE-030131-684]	23	4915595	4925724	-1
ENSDARG00000038242	zgc:113333	zgc:113333 [Source:ZFIN;Acc:ZDB-GENE-050320-57]	3	18740950	18756076	-1
ENSDARG00000036446	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	25	3475384	3503458	-1
ENSDARG00000055635	crk	v-crk avian sarcoma virus CT10 oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-040801-148]	15	24737599	24744920	1
ENSDARG00000078696	synpo2lb	synaptopodin 2-like b [Source:ZFIN;Acc:ZDB-GENE-090828-5]	12	26408351	26430507	-1
ENSDARG00000100313	pip5k1cb	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma b [Source:ZFIN;Acc:ZDB-GENE-110408-21]	2	56508451	56635782	-1
ENSDARG00000089952	si:ch211-147k9.8	si:ch211-147k9.8 [Source:ZFIN;Acc:ZDB-GENE-120709-101]	25	21895182	21908644	1
ENSDARG00000018743	scamp5a	secretory carrier membrane protein 5a [Source:ZFIN;Acc:ZDB-GENE-030131-3188]	25	31837228	31863374	-1
ENSDARG00000068344	mmab	methylmalonic aciduria (cobalamin deficiency) cblB type [Source:ZFIN;Acc:ZDB-GENE-060526-232]	5	19489581	19494048	-1
ENSDARG00000076332	si:ch211-159i8.4	si:ch211-159i8.4 [Source:ZFIN;Acc:ZDB-GENE-141215-7]	14	17599875	17659420	-1
ENSDARG00000034933	chchd3b	coiled-coil-helix-coiled-coil-helix domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-030131-4476]	25	3358701	3369328	1
ENSDARG00000040614	sestd1	SEC14 and spectrin domains 1 [Source:ZFIN;Acc:ZDB-GENE-030801-1]	9	43149854	43213229	-1
ENSDARG00000004154	orai1b	ORAI calcium release-activated calcium modulator 1b [Source:ZFIN;Acc:ZDB-GENE-050522-100]	10	41914084	41921417	1
ENSDARG00000102277	lama1	laminin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-060118-1]	24	41690545	41784173	1
ENSDARG00000101093	zgc:162971	zgc:162971 [Source:ZFIN;Acc:ZDB-GENE-070424-48]	21	2202270	2209714	-1
ENSDARG00000095745	si:ch73-138e16.3	si:ch73-138e16.3 [Source:ZFIN;Acc:ZDB-GENE-070705-202]	22	1285182	1290139	1
ENSDARG00000022730	aasdh	aminoadipate-semialdehyde dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-041210-322]	20	25645459	25659372	1
ENSDARG00000025218	myo5ab	myosin VAb [Source:ZFIN;Acc:ZDB-GENE-050411-72]	25	7612606	7650335	-1
ENSDARG00000036999	DISP3	dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251]	8	51050554	51147594	1
ENSDARG00000089245	dusp23b	dual specificity phosphatase 23b [Source:ZFIN;Acc:ZDB-GENE-040718-163]	17	6276559	6282608	1
ENSDARG00000009280	smyd1a	SET and MYND domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9825]	5	72106837	72126424	-1
ENSDARG00000099026	si:dkey-185m8.2	si:dkey-185m8.2 [Source:ZFIN;Acc:ZDB-GENE-160114-60]	7	8324506	8341388	1
ENSDARG00000007682	ppdpfa	pancreatic progenitor cell differentiation and proliferation factor a [Source:ZFIN;Acc:ZDB-GENE-030219-204]	8	23213320	23216035	1
ENSDARG00000069328	si:dkey-12e7.1	si:dkey-12e7.1 [Source:ZFIN;Acc:ZDB-GENE-050419-173]	18	21101835	21105968	-1
ENSDARG00000068705	tmem168a	transmembrane protein 168a [Source:ZFIN;Acc:ZDB-GENE-050419-97]	4	6735053	6749412	1
ENSDARG00000105173	si:ch211-142b24.2	si:ch211-142b24.2 [Source:ZFIN;Acc:ZDB-GENE-131122-63]	4	42175261	42193479	1
ENSDARG00000095772	si:dkey-11o1.2	si:dkey-11o1.2 [Source:ZFIN;Acc:ZDB-GENE-100921-76]	16	11573471	11578407	1
ENSDARG00000011909	itpr2	inositol 1,4,5-trisphosphate receptor, type 2 [Source:ZFIN;Acc:ZDB-GENE-050419-192]	18	15937610	16042504	1
ENSDARG00000041623	mt2	metallothionein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-4174]	18	17534627	17535979	1
ENSDARG00000103735	elovl1b	ELOVL fatty acid elongase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2755]	11	13094179	13152524	-1
ENSDARG00000013346	fam208ab	family with sequence similarity 208, member Ab [Source:ZFIN;Acc:ZDB-GENE-090311-29]	23	19473935	19486571	-1
ENSDARG00000102750	cdh1	cadherin 1, type 1, E-cadherin (epithelial) [Source:ZFIN;Acc:ZDB-GENE-010606-1]	7	53059299	53117237	-1
ENSDARG00000076757	ephb1	EPH receptor B1 [Source:ZFIN;Acc:ZDB-GENE-070912-219]	2	46589798	46728027	1
ENSDARG00000068701	gpr85	G protein-coupled receptor 85 [Source:ZFIN;Acc:ZDB-GENE-000710-2]	4	6643421	6647605	1
ENSDARG00000068366	si:dkey-154p10.3	si:dkey-154p10.3 [Source:ZFIN;Acc:ZDB-GENE-070912-380]	2	32826235	32834441	1
ENSDARG00000056934	hepacama	hepatic and glial cell adhesion molecule a [Source:ZFIN;Acc:ZDB-GENE-050522-198]	15	22311803	22325973	1
ENSDARG00000035771	si:ch1073-157b13.1	si:ch1073-157b13.1 [Source:ZFIN;Acc:ZDB-GENE-110411-13]	23	44236281	44251006	1
ENSDARG00000077497	igsf10	immunoglobulin superfamily, member 10 [Source:ZFIN;Acc:ZDB-GENE-130530-827]	15	1086656	1107108	1
ENSDARG00000031359	cmpk2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040724-24]	17	35362851	35375448	1
ENSDARG00000102389	ved	ventrally expressed dharma/bozozok antagonist [Source:ZFIN;Acc:ZDB-GENE-030813-1]	10	44997062	45002196	-1
ENSDARG00000092762	si:dkey-5i3.1	si:dkey-5i3.1 [Source:ZFIN;Acc:ZDB-GENE-070705-481]	18	8937718	8943162	1
ENSDARG00000095929	BX664742.2		8	28207354	28228296	-1
ENSDARG00000014805	fhl5	four and a half LIM domains 5 [Source:ZFIN;Acc:ZDB-GENE-040822-3]	17	15605572	15611744	-1
ENSDARG00000078839	si:dkey-28o19.1	si:dkey-28o19.1 [Source:ZFIN;Acc:ZDB-GENE-091118-30]	10	18291971	18492617	-1
ENSDARG00000058880	cldnj	claudin j [Source:ZFIN;Acc:ZDB-GENE-010328-10]	15	2631421	2632891	-1
ENSDARG00000104208	zgc:172128	zgc:172128 [Source:ZFIN;Acc:ZDB-GENE-080220-2]	4	76426421	76430594	1
ENSDARG00000038666	igfbp1b	insulin-like growth factor binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-081210-3]	2	124433	127945	-1
ENSDARG00000041217	xpo6	exportin 6 [Source:ZFIN;Acc:ZDB-GENE-030131-5912]	3	15085294	15131438	-1
ENSDARG00000103504	CR855311.4		16	31646390	31651183	-1
ENSDARG00000098423	trgv2	T cell receptor gamma variable 2 [Source:ZFIN;Acc:ZDB-GENE-051115-14]	2	31885581	31886019	-1
ENSDARG00000036239	gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:ZFIN;Acc:ZDB-GENE-021015-1]	18	35725	46010	-1
ENSDARG00000074148	rbpjl	recombination signal binding protein for immunoglobulin kappa J region-like [Source:ZFIN;Acc:ZDB-GENE-050307-4]	6	52757433	52796212	-1
ENSDARG00000062268	jarid2b	jumonji, AT rich interactive domain 2b [Source:ZFIN;Acc:ZDB-GENE-060503-246]	19	25971000	26156531	1
ENSDARG00000105349	si:cabz01069582.1	si:cabz01069582.1 [Source:ZFIN;Acc:ZDB-GENE-160114-8]	11	31144720	31146808	-1
ENSDARG00000069377	si:dkey-242g16.2	si:dkey-242g16.2 [Source:ZFIN;Acc:ZDB-GENE-030131-8324]	10	17987288	17988779	-1
ENSDARG00000099283	epb41a	erythrocyte membrane protein band 4.1a [Source:ZFIN;Acc:ZDB-GENE-070705-81]	19	13639486	13774502	-1
ENSDARG00000021124	cfl1	cofilin 1 [Source:ZFIN;Acc:ZDB-GENE-030131-215]	14	30795559	30801555	1
ENSDARG00000078256	ovol1b	ovo-like zinc finger 1b [Source:ZFIN;Acc:ZDB-GENE-091204-357]	21	25625026	25631382	1
ENSDARG00000017790	chrnb2b	cholinergic receptor, nicotinic, beta 2b [Source:ZFIN;Acc:ZDB-GENE-070821-3]	16	22618620	22678294	1
ENSDARG00000055632	smtnl	smoothelin, like [Source:ZFIN;Acc:ZDB-GENE-040212-1]	15	24644016	24671419	1
ENSDARG00000034007	prom1b	prominin 1 b [Source:ZFIN;Acc:ZDB-GENE-031003-1]	1	22712931	22757145	-1
ENSDARG00000097007	CU694256.1		16	12524732	12532027	-1
ENSDARG00000033411	cabp1b	calcium binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-040718-111]	10	41409255	41450454	-1
ENSDARG00000090352	CR855311.1	uncharacterized LOC101883708 [Source:NCBI gene;Acc:101883708]	16	31623975	31628687	-1
ENSDARG00000033804	snx27a	sorting nexin family member 27a [Source:ZFIN;Acc:ZDB-GENE-060503-371]	19	8612839	8647894	1
ENSDARG00000100445	si:dkeyp-13d12.17	si:dkeyp-13d12.17 [Source:ZFIN;Acc:ZDB-GENE-141212-149]	2	31864399	31864450	-1
ENSDARG00000060668	tm4sf18	transmembrane 4 L six family member 18 [Source:ZFIN;Acc:ZDB-GENE-050208-690]	22	38159823	38168571	1
ENSDARG00000074119	frmpd2	FERM and PDZ domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-110315-2]	12	2522642	2568460	1
ENSDARG00000031756	mef2aa	myocyte enhancer factor 2aa [Source:ZFIN;Acc:ZDB-GENE-990415-163]	18	23187419	23356077	1
ENSDARG00000017928	xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3 [Source:ZFIN;Acc:ZDB-GENE-050320-116]	20	20896622	20901558	-1
ENSDARG00000105423	cd27	CD27 molecule [Source:ZFIN;Acc:ZDB-GENE-160113-60]	16	17089114	17101441	1
ENSDARG00000087956	she	Src homology 2 domain containing E [Source:ZFIN;Acc:ZDB-GENE-090915-6]	16	22587661	22603354	1
ENSDARG00000070393	si:dkey-190g6.2	si:dkey-190g6.2 [Source:ZFIN;Acc:ZDB-GENE-090312-30]	23	33934877	33944597	-1
ENSDARG00000011973	slc35d1a	solute carrier family 35 (UDP-GlcA/UDP-GalNAc transporter), member D1a [Source:ZFIN;Acc:ZDB-GENE-040826-5]	6	34847276	34860574	-1
ENSDARG00000092057	si:dkey-90l23.1	si:dkey-90l23.1 [Source:ZFIN;Acc:ZDB-GENE-030131-5242]	9	8372167	8375675	1
ENSDARG00000057986	ints8	integrator complex subunit 8 [Source:ZFIN;Acc:ZDB-GENE-050522-556]	19	17834769	17996336	-1
ENSDARG00000036592	setd4	SET domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-050808-2]	1	47106268	47114319	-1
ENSDARG00000091985	BX005012.2		16	41546763	41548437	1
ENSDARG00000003776	pip4k2aa	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha a [Source:ZFIN;Acc:ZDB-GENE-080721-18]	24	17068724	17127833	1
ENSDARG00000015887	b2ml	beta-2-microglobulin, like [Source:ZFIN;Acc:ZDB-GENE-040426-2136]	8	50942240	50950549	1
ENSDARG00000076546	trhra	thyrotropin-releasing hormone receptor a [Source:ZFIN;Acc:ZDB-GENE-100922-18]	16	38818864	38826777	1
ENSDARG00000032933	dtx2	deltex 2, E3 ubiquitin ligase [Source:ZFIN;Acc:ZDB-GENE-081022-150]	5	59553636	59595597	1
ENSDARG00000099679	tent2	terminal nucleotidyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-050522-536]	5	51833132	51847896	1
ENSDARG00000079467	si:ch73-15b2.5	si:ch73-15b2.5 [Source:ZFIN;Acc:ZDB-GENE-030131-5406]	6	40563848	40572550	1
ENSDARG00000096319	si:ch211-239j9.1	si:ch211-239j9.1 [Source:ZFIN;Acc:ZDB-GENE-120215-212]	6	52350443	52357145	1
ENSDARG00000089200	si:dkey-103g5.4	si:dkey-103g5.4 [Source:ZFIN;Acc:ZDB-GENE-131127-503]	15	21882419	21943563	1
ENSDARG00000105411	si:ch211-113d11.5	si:ch211-113d11.5 [Source:ZFIN;Acc:ZDB-GENE-030131-6391]	14	46221004	46228094	-1
ENSDARG00000045695	myca	MYC proto-oncogene, bHLH transcription factor a [Source:ZFIN;Acc:ZDB-GENE-990415-162]	24	10413484	10416284	1
ENSDARG00000019417	gadd45ga	growth arrest and DNA-damage-inducible, gamma a [Source:ZFIN;Acc:ZDB-GENE-040426-1882]	8	31367667	31369161	-1
ENSDARG00000037020	kif1b	kinesin family member 1B [Source:ZFIN;Acc:ZDB-GENE-030820-1]	23	29396182	29505645	-1
ENSDARG00000096031	si:ch73-6k14.2	si:ch73-6k14.2 [Source:ZFIN;Acc:ZDB-GENE-110914-243]	1	49245229	49250490	-1
ENSDARG00000039489	git1	G protein-coupled receptor kinase interacting ArfGAP 1 [Source:ZFIN;Acc:ZDB-GENE-100408-5]	15	28431621	28480576	-1
ENSDARG00000068991	zgc:158862	zgc:158862 [Source:ZFIN;Acc:ZDB-GENE-070209-146]	8	22393908	22394660	-1
